text,sentiment,clean_text
Whatever prompted such a documentary is beyond me!,negative,whatever prompted such a documentary is beyond me
(very serious spoilers) this movie was a huge disappointment.,negative,very serious spoilers this movie was a huge disappointment
there are so many problems i dont know where to start.,negative,there are so many problems i dont know where to start
the cast was great.,positive,the cast was great
"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.",positive,steve martin delivers a really funny performance of a middleaged upper class uptight white guy
add betty white and jean smart and you have a great cast - everyone played their parts really well.,positive,add betty white and jean smart and you have a great cast everyone played their parts really well
but the movie makes a lot of serious mistakes.,negative,but the movie makes a lot of serious mistakes
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.",negative,first of all there are enough racial stereotypes and racial jokes to offend everyone
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.,negative,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.",negative,putting the race card aside lets look at the major flaw in the film they destroy latifas character
there is no real plot.,negative,there is no real plot
i wouldnt see this movie again for free.,negative,i wouldnt see this movie again for free
STEAMBOAT WILLIE is an amazingly important film to our cinema history.,positive,steamboat willie is an amazingly important film to our cinema history
This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.,positive,this second appearance of mickey mouse following the silent plane crazy earlier that year is probably his most famous filmmostly because it was so groundbreaking
"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.",positive,while you dont yet hear mickey speak there are tons of sound effects and music throughout the filmsomething we take for granted now but which was a huge crowd pleaser in
"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.",positive,however after seeing the short again after about years i was amazed at how timeless the film actually is
"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.",positive,its just adorable seeing mickey playing turkey in the straw in a highly imaginative if occasionally cruel way
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.,positive,clever and a real crowdpleaserthis film still ranks among mickeys best films even after wonderful years
"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.",negative,the bipolarity of the ruthless thug one minute a ruthless killer the next minute a luvs diaper commercial is completely unconvincing
"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.",negative,im terribly disappointed that this film would receive so many awards and accolades especially when there are far more deserving works of film out there
The original Body and Soul (1947) is a masterpiece.,positive,the original body and soul is a masterpiece
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.",positive,john garfield ann revere lilli plmer william conrad canada leeand filmed by one of the greatest cinematographers to ever grace the screenjames wong howe
I don't think there are any redeeming qualities in this remake.,negative,i dont think there are any redeeming qualities in this remake
This may be the only bad film he ever made.,negative,this may be the only bad film he ever made
So bad...well...it's just bad.,negative,so badwellits just bad
"This movie is a solid example of a bad plot and a very, very bad idea all the way.",negative,this movie is a solid example of a bad plot and a very very bad idea all the way
It's a shame to see good actors like Thomerson and James make a living in a mess like this.,negative,its a shame to see good actors like thomerson and james make a living in a mess like this
I thought it was bad.,negative,i thought it was bad
"Both films are terrible, but to the credit of the 1986 version, it was watchable.",negative,both films are terrible but to the credit of the version it was watchable
"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.",negative,lets start with all the problemsthe acting especially from the lead professor was very very bad
The script is a big flawed mess.,negative,the script is a big flawed mess
The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.,negative,the best example of how dumb the writing is when its established that you can turn the zombiestudents back into humans by removing a necklace containing a piece of the meteorite
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.",negative,director paul matthews who also wrotedirected the weak monster movie grim clearly doesnt know how to pace his films
The movie is terribly boring in places.,negative,the movie is terribly boring in places
The lighting is awful.,negative,the lighting is awful
The film looks cheap and bland.,negative,the film looks cheap and bland
One of the most disappointing aspects is the lack of notable gore.,negative,one of the most disappointing aspects is the lack of notable gore
"This convention never worked well in the past, and certainly doesn't work here.",negative,this convention never worked well in the past and certainly doesnt work here
The visual effects were AWFUL.,negative,the visual effects were awful
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!,negative,the cg opening sequence in space looked like it could have been created on microsoft slideshow for gods sake
"The ""explosion"" of the Gas tanks at the end was just as awful.",negative,the explosion of the gas tanks at the end was just as awful
"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.",positive,okay i like to consider myself a fair critic so ill give credit where credits duethe creature effects were actually pretty cool
"Gotta love those close-ups of slimy, drooling teeth!",positive,gotta love those closeups of slimy drooling teeth
"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.",negative,to sum the film up breeders is a terrible cheaply made horror movie that should be avoided like the ebola virus
Not recommended.,negative,not recommended
"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.",negative,he is almost unbearable to watch on screen he has little to no charisma and terrible comedic timing
"Aside from it's terrible lead, this film has loads of other debits.",negative,aside from its terrible lead this film has loads of other debits
"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.",negative,i understand that its supposed to be a cheap popcorn comedy but that doesnt mean that it has to completely insult our intelligence and have writing so incredibly hackneyed that it borders on offensive
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.",negative,lewis blacks considerable talent is wasted here too as he is at his most incendiary when he is unrestrained which the pg rating certainly wont allow
The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).,positive,the films sole bright spot was jonah hill who will look almost unrecognizable to fans of the recent superbad due to the amount of weight he lost in the interim
"With the originality and freshness of the first movie now spent, this remake had little else to offer.",negative,with the originality and freshness of the first movie now spent this remake had little else to offer
The budget was evidently very limited.,negative,the budget was evidently very limited
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.",negative,this was reflected not only in the cast but also in the belowpar script which borrowed much from the earlier classic
"However, here there was no decent acting, action or location work to balance things up.",negative,however here there was no decent acting action or location work to balance things up
Filmiing was less expansive.,negative,filmiing was less expansive
It failed to convey the broad sweep of landscapes that were a great part of the original.,negative,it failed to convey the broad sweep of landscapes that were a great part of the original
Generally; it just lacked imagination.,negative,generally it just lacked imagination
Not recommended.,negative,not recommended
Is it possible for a movie to get any worse than this?,negative,is it possible for a movie to get any worse than this
There is no plot here to keep you going in the first place.,negative,there is no plot here to keep you going in the first place
"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.",negative,even when the women finally show up there is no sign of improvement the most expected things happen and by the time the film is over you might be far asleep
"Beware: this is not a trashy cult movie, this is trash -period!",negative,beware this is not a trashy cult movie this is trash period
I can't believe there's even a sequel to this!,negative,i cant believe theres even a sequel to this
Which is precisely why I am giving it such a bad review!,negative,which is precisely why i am giving it such a bad review
"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.",positive,being a s child i truly enjoyed this show and i can proudly say that i enjoyed it big time and even more than the classical wb cartoons
"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.",positive,but tiny toons kept the s vibe and delivered one of the most popular funny and underrated cartoons ever created
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.,positive,the memories are murky but i can only say that i enjoyed every single episode and product related to the show
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).",positive,easily none other cartoon made me laugh in a tender way before getting into dark sitcoms oriented for teenagers
The characters were all funny and had the peculiarity of not having a true lead character.,positive,the characters were all funny and had the peculiarity of not having a true lead character
Every single character was hilarious and deserved to be called a lead.,positive,every single character was hilarious and deserved to be called a lead
"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.",negative,every element of this story was so over the top excessively phony and contrived that it was painful to sit through
"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.",negative,her lines seem to have been written by a fifteen year old though they are trying oh so so hard to sound like how a fifteen year old would really um you know well talk
Perabo has a nice energy level and is obviously very comfortable in front of a camera.,positive,perabo has a nice energy level and is obviously very comfortable in front of a camera
There is simply no excuse for something this poorly done.,negative,there is simply no excuse for something this poorly done
I saw this movie and I thought this is a stupid movie.,negative,i saw this movie and i thought this is a stupid movie
What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?,negative,what is even more stupid is that who had thought an idea that there should be a volcano in los angeles
"To be honest with you, this is unbelievable nonsense and very foolish.",negative,to be honest with you this is unbelievable nonsense and very foolish
"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.",negative,in conclusion i will not bother with this movie because a volcano in los angeles is nothing but nonsense
The story line is just awful!,negative,the story line is just awful
It's just painful!,negative,its just painful
And the accents are absolutely abysmal!,negative,and the accents are absolutely abysmal
There's also enough hypocrisy in this film to make me vomit.,negative,theres also enough hypocrisy in this film to make me vomit
Don't waste your time watching this rubbish non-researched film.,negative,dont waste your time watching this rubbish nonresearched film
I believe that Pitch Black was done well.,positive,i believe that pitch black was done well
"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.",positive,the characters are interesting and you want to find out more about them the longer the movie goes on and i think people will be surprised by who does and doesnt make it
Go watch it!,positive,go watch it
Omit watching this.,negative,omit watching this
VERY funny!,positive,very funny
My rating: just 3 out of 10.,negative,my rating just out of
The characters are interesting and you really care for them.,positive,the characters are interesting and you really care for them
"An instant classic, with a great soundtrack and a catchy song during the ending credits.",positive,an instant classic with a great soundtrack and a catchy song during the ending credits
Don't miss it.,positive,dont miss it
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.",positive,this is a masterful piece of filmmaking with many themes simmering and occasionally boiling over in this warts and all study of the poets bohemian selfindulgent wartime years that span the aerial bombardments of london and the outward tranquillity of a welsh coastal retreat the borderlines between friendship lust and love dedication to art and experience versus practical concerns jealousy rivalry cowardice and egotism versus heroism and selfsacrifice and more
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).",positive,a mature subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances apart from the odd inappropriate smiling that keira knightley is prone to though perhaps under direction this time as the other characters themselves often mention it
"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.",positive,but above all the exquisite visual composition of each moment with inventive and elegant use of closeup camera angle and lighting including pointillistic faux home movie footage is a wonder and joy to behold
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.",positive,its as continuously beautiful to look at as a bertolucci but the relationships here are more convincing and the narrative more engaging than some of that masters work
The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.,negative,the basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew
"Regardless, the film fails on most levels.",negative,regardless the film fails on most levels
Avoid at all costs.,negative,avoid at all costs
"I saw this film over Christmas, and what a great film it was!",positive,i saw this film over christmas and what a great film it was
I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!,positive,i thought errol flynn was brilliant as custer and has since become my favourite actor
His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!,positive,his acting alongside olivia de havilland was brilliant and the ending was fantastic
"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.",positive,i had always known that errol flynn was a brilliant actor as he was my dads favourite actor and i grew up watching his films as a child
But it wasn't until I watched this film that I realised how great he actually was.,positive,but it wasnt until i watched this film that i realised how great he actually was
I'll give this film 10 out of 10!,positive,ill give this film out of
"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.",negative,i know that jim oconnor was very energetic and that nobody could be as much as him but george was well dull
"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.",negative,he really didnt seem to want to be hosting his voiceovers were monotonous didnt get involved with the guests
"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.",positive,lovely little thriller from hitchcock with lots of nice shenanigans surrounding a murdered spy a kidnapped child a nasty church a foreign plot and some random taxidermists
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.",positive,jimmy stewart is as ever a great hero for hitchcock the story rips along to its cool climax at an embassy function but it lacks the brooding menace of hitchcocks black and white lowbudget original
Nevertheless yet another wonderful film from the great master's stable.,positive,nevertheless yet another wonderful film from the great masters stable
I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!,positive,i have to say that this film was excellently produced and tops the ratings as a typical sci fi film
Excellently produced by one of Sci-fi's best producers Scot Vandiver !,positive,excellently produced by one of scifis best producers scot vandiver
"But it is entertaining, nonetheless.",positive,but it is entertaining nonetheless
It's a campy sort of film that's a joy to watch.,positive,its a campy sort of film thats a joy to watch
There's barely a boring moment in the film and there are plenty of humorous parts.,positive,theres barely a boring moment in the film and there are plenty of humorous parts
The cast is always entertaining as usual.,positive,the cast is always entertaining as usual
"Overall, a delight!",positive,overall a delight
"This movie is so mind-bendingly awful, it couldn't have even been created.",negative,this movie is so mindbendingly awful it couldnt have even been created
The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.,negative,the film lacks any real scares or tension some of the medical terminology used throughout is a bit iffy to say the least i say that as an insulin dependant diabetic myself
The least said about the acting the better.,negative,the least said about the acting the better
This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.,positive,this movie does an excellent job of revealing the complexity of the task and the incredible challenges facing south africa
I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.,positive,i believe every one should see this movie as i think few people outside of south africa understand its past and what is being attempted in the truth and reconciliation process
Nothing short of magnificent photography/cinematography in this film.,positive,nothing short of magnificent photographycinematography in this film
"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.",positive,the acting is fantastic the stories are seamlessly woven together and the dogs are splendid a must rent view or see
Don't be afraid of subtitles........ its worth a little aversion therapy 10/10,positive,dont be afraid of subtitles its worth a little aversion therapy
Excellent performance.,positive,excellent performance
There still are good actors around!,positive,there still are good actors around
Also great directing and photography.,positive,also great directing and photography
"Very true to Shakespear, and a 'must' for all Shakespear fans.",positive,very true to shakespear and a must for all shakespear fans
"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.",positive,macbeth jason connery moved me to tears with his final monolog out brief candle outhe gave the sphere of moral decay and dark forces a human face which makes it the more interesting
"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.",positive,helen baxendale is a very credible lady macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl but deadly in her taste for blood and evil
"If you love death and decay, and Shakespears lyrics... this is the one.",positive,if you love death and decay and shakespears lyrics this is the one
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.",positive,this is a witty and delightful adaptation of the dr seuss book brilliantly animated by upas finest and thoroughly deserving of its academy award
"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.",positive,special mention should be made of the superb music score and sound effects which are an integral element in helping to make this such a memorable and enjoyable cartoon
"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.",positive,however paul schrader has indeed made a film about mishima that is both superb complex
Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.,positive,also notable is john baileys fine crisp beautifully colored cinematography and the great production design costumes by eiko ishioka who went on to do the memorable costumes for coppolas dracula for which she received a well deserved oscar
"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.",negative,even allowing for poor production values for the time and the format some kind of miniseries this is baaaaaad
"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.",negative,unless youre just out to visually collect all extant films of austens work you can skip this one
"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.",positive,if you do watch it however there are small consolations the actresses playing annes sisters each do a wonderful job with their roles
It is not good.,negative,it is not good
"Speaking of the music, it is unbearably predictably and kitchy.",negative,speaking of the music it is unbearably predictably and kitchy
Then the film just dropped the ball.,negative,then the film just dropped the ball
This is a stunning movie.,positive,this is a stunning movie
Raw and sublimely moving.,positive,raw and sublimely moving
"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.",positive,it felt like a very gripping intelligent stage play but without the overly theatrical feeling one actually gets from watching people on a stage which plays on everyones terror of a white lie escalating to monstrous consequences
All of the main players are mesmerising.,positive,all of the main players are mesmerising
Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.,positive,tom wilkinson broke my heart at the end and everyone elses judging by the amount of fumbling for hankies and hands going up to faces among males and females alike
Julian Fellowes has triumphed again.,positive,julian fellowes has triumphed again
He's a national treasure.,positive,hes a national treasure
GO AND SEE IT!,positive,go and see it
This is an excellent film.,positive,this is an excellent film
The aerial scenes were well-done.,positive,the aerial scenes were welldone
It was also the right balance of war and love.,positive,it was also the right balance of war and love
"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.",positive,the film gives meaning to the phrase never in the history of human conflict has so much been owed by so many to so few
Kris Kristoffersen is good in this movie and really makes a difference.,positive,kris kristoffersen is good in this movie and really makes a difference
A good film by a great director!,positive,a good film by a great director
This is definitely one of the better documentaries I have seen looking at family relationships and marriage.,positive,this is definitely one of the better documentaries i have seen looking at family relationships and marriage
"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.",negative,there are many continuity errors one other user commented on different cars in the garage joes glassesthe one that got to me the most was the fact joes facial hair configuration seemed to change from scene to scene
This is just a great movie.,positive,this is just a great movie
10 out of 10 stars.,positive,out of stars
I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.,negative,i cant see how this movie can be an inspiration to anyone to come out or overcome fear and rejection
It's so bad it's actually worth seeing just for that reason.,negative,its so bad its actually worth seeing just for that reason
Punishment Park is a brilliant piece of cinema.,positive,punishment park is a brilliant piece of cinema
"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.",positive,shot in the southern california desert using his patent faux documentary style watkins creates a film like no other
This is one of Peter Watkins most accessible films.,positive,this is one of peter watkins most accessible films
I advise you to look out for it.,positive,i advise you to look out for it
You wont regret it!,positive,you wont regret it
Highly recommended A+,positive,highly recommended a
Well... Just if you keep thinking how bad it is.,negative,well just if you keep thinking how bad it is
"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.",negative,its a mediocre miserable hollow laughable and predictable piece of garbage
It's a case of 'so bad it is laughable'.,negative,its a case of so bad it is laughable
") very bad performance plays Angela Bennett, a computer expert who is at home all the time.",negative,very bad performance plays angela bennett a computer expert who is at home all the time
"It is a film about nothing, just a pretext to show ridiculous action scenes.",negative,it is a film about nothing just a pretext to show ridiculous action scenes
How awful she is!,negative,how awful she is
"But she is still a bad actress, repeating her robotic face moves in each of her pictures.",negative,but she is still a bad actress repeating her robotic face moves in each of her pictures
"The results, well, are a shame.",negative,the results well are a shame
DELETE this film from your mind!,negative,delete this film from your mind
One of the worst shows of all time.,negative,one of the worst shows of all time
The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.,negative,the show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for
"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???",negative,the fat computer geek was unbelievable the bible thumper the badass girl who are these actors
Never heard of any of them except Cole who was totally unbelievable in the part.,negative,never heard of any of them except cole who was totally unbelievable in the part
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.",negative,every time he opened his mouth you expect to hear you see kids pulling the plug was a mercy killing for this horrible show
The stories were as unbelievable as the actors.,negative,the stories were as unbelievable as the actors
Lame would be the best way to describe it.,negative,lame would be the best way to describe it
"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.",positive,stanwyck and morgan are perfectly cast in what is in many ways a modern equivalent of dickens christmas carol in its sensibility
The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.,positive,the success of the film depends on the casting of sydney greenstreet as the alexander yardley character
The attractive set used throughout most of the film is an eye-pleasing gem.,positive,the attractive set used throughout most of the film is an eyepleasing gem
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.",negative,im big fan of rpg games too but this movie its a disgrace to any selfrespecting rpger there is
"The lines, the cuts, the audio, everything is wrong.",negative,the lines the cuts the audio everything is wrong
You can find better movies at youtube.,negative,you can find better movies at youtube
"Top line: Don't waste your time and money on this one, its as bad as it comes.",negative,top line dont waste your time and money on this one its as bad as it comes
"A Lassie movie which should have been ""put to sleep"".... FOREVER.",negative,a lassie movie which should have been put to sleep forever
That's how I'd describe this painfully dreary time-waster of a film.,negative,thats how id describe this painfully dreary timewaster of a film
"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.",negative,so mediocre in every aspect that it just becomes a dull uninteresting mess this is one of the most forgettable movies ive seen
"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.",negative,it isnt even an achievement as a sobaditsgood or sobaditsmemorable movie
"It's an empty, hollow shell of a movie.",negative,its an empty hollow shell of a movie
"Seriously, it's not worth wasting your, or your kid's time on.",negative,seriously its not worth wasting your or your kids time on
"Avoid, avoid, avoid!",negative,avoid avoid avoid
It will drive you barking mad!,negative,it will drive you barking mad
The transfers are very good.,positive,the transfers are very good
Very nice and relaxing late night viewing.,positive,very nice and relaxing late night viewing
The movie is full of wonderful dancing (hence the title!,positive,the movie is full of wonderful dancing hence the title
") some great music, and terrific scenery.",positive,some great music and terrific scenery
"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!",positive,it handles some tough issues with dignity and grace and of course has shocking spoiler here
") a happy, wonderful, feel good ending!",positive,a happy wonderful feel good ending
"The point is the journey, a journey that touches every member of the family.",positive,the point is the journey a journey that touches every member of the family
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!,positive,its one of the movies i need to see whenever it comes on tvnever mind the fact that i already have it memorized
Nothing new there.,negative,nothing new there
That was done in the second movie.,negative,that was done in the second movie
The movie has almost no action scenes in it and very little comedy.,negative,the movie has almost no action scenes in it and very little comedy
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.,negative,the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted
What on earth is Irons doing in this film?,negative,what on earth is irons doing in this film
I just saw this film and I recommend it.,positive,i just saw this film and i recommend it
"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.",positive,it has a very good plot it holds your complete attention the acting is superb tom wilkinson was fantastic and emily watson was also very good
"A very good film indeed, about great and unconditional love.",positive,a very good film indeed about great and unconditional love
"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.",positive,tom wilkinsons character is a man who is not prepared for the ordeal that is about to begin but he takes the matter in hand as the story progresses and this great actor gives a performance that makes you feel the characters anguish and suffering
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.",positive,emily watsons character is very strong and she has only to give a quick glance and you understand everything
"Despite the pans of reviewers, I liked this movie.",positive,despite the pans of reviewers i liked this movie
"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.",positive,in fact i liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruises attempt
"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).",positive,aailiyah was pretty good as akasha in places compelling her first entrance and mini dance scene
"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.",positive,im a big fan of this series mostly due to anne rices style sensitivities and treatments
I guess I liked the details of his dysfunction--he was believable.,positive,i guess i liked the details of his dysfunctionhe was believable
The football scenes at the end were perplexing.,negative,the football scenes at the end were perplexing
But I thought his acting was skilled.,positive,but i thought his acting was skilled
Meredith M was better than all right.,positive,meredith m was better than all right
A very charming film with wonderful sentiment and heart.,positive,a very charming film with wonderful sentiment and heart
It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.,positive,it is rare when a filmmaker takes the time to tell a worthy moral tale with care and love that doesnt fall into the trap of being overly syrupy or over indulgent
Nine out of ten for a truly lovely film.,positive,nine out of ten for a truly lovely film
This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.,positive,this early film from future goremeister lucio fulci is a very good addition to the giallo subgenre
This is one of the best Italian thrillers of the early 70's.,positive,this is one of the best italian thrillers of the early s
A standout scene.,positive,a standout scene
This scene is very strong and unpleasant.,negative,this scene is very strong and unpleasant
"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.",positive,technically the film is well made with impressive camerawork solid acting and effective music from riz ortolani particularly good is a recurring unaccompanied female vocal that sounds like its coming from a distant hill
It's still wild stuff though and is highly recommended to fans of giallo cinema.,positive,its still wild stuff though and is highly recommended to fans of giallo cinema
The movie was very interesting from beginning to the end.,positive,the movie was very interesting from beginning to the end
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.,positive,i liked the way dustin hoffmans character was ready to do just about everything to stay with his son
This movie is also revealing.,positive,this movie is also revealing
"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.",positive,personally i think it shows that people should learn to find a compromise them self without involving other people into issue
And it was boring.,negative,and it was boring
"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.",negative,i am so tired of clichs that is just lazy writing and here they come in thick and fast
PS the only scene in the movie that was cool is when the central character finds her room blown up.,positive,ps the only scene in the movie that was cool is when the central character finds her room blown up
"It's a fresh, subtle, and rather sublime effect.",positive,its a fresh subtle and rather sublime effect
"An Italian reviewer called this ""a small, great film,"" and that's right.",positive,an italian reviewer called this a small great film and thats right
"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.",positive,all the actors give a wonderful performance especially jennifer rubin as jamie harris who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star
"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.",positive,you learn a lot about the real inside emotions of people in this movie and a lot about the movie business itself
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.",positive,the movie in movie situations in the beginning and through the game that is played with her by the acting coach are fascinating
